name,artists,spotify_url
Finesse,Pheelz,https://open.spotify.com/track/3UqcIgObI7zZk8e7nvqmfc
Attention,Omah Lay,https://open.spotify.com/track/6tTeRmhhuwDl5Y4UiJdHuO
Let Me Know,W4,https://open.spotify.com/track/7qxu8fxTewZF0S9RGRthQK
Touch It - Remix,KiDi,https://open.spotify.com/track/3DvzYWNYYrixsXTXV2t8pA
Down Flat,Kelvyn Boy,https://open.spotify.com/track/0eqmxkeJHQs3mdOEFluYXB
Sugarcane,Camidoh,https://open.spotify.com/track/2pPh2jjCqiIDjGdwMMsPQ1
Cold Outside,Timaya,https://open.spotify.com/track/2jZ2MrAk8iNZk1dsI0Vr5z
Bunker,Kuami Eugene,https://open.spotify.com/track/430qeeo39VnjbC8aXIsEbS
Calm Down,Rema,https://open.spotify.com/track/6hgoYQDUcPyCz7LcTUHKxa
Non Living Thing (feat. Oxlade),Sarkodie,https://open.spotify.com/track/5Ky8pIlNDaSQtxfY45dqMw
Baddest Boy,Skiibii,https://open.spotify.com/track/3t7hYVVDzf1VDUz0pu5Zy1
Tele,Kelvyn Boy,https://open.spotify.com/track/7gdKO8t9G1qrAvrnQji5Wk
Mon Bebe,KiDi,https://open.spotify.com/track/2QQk94CGXfsO5J6k6im7Jw
Emiliana,CKay,https://open.spotify.com/track/0vNY7uNEG8El6doRdP21D5
Snapchat,Ruger,https://open.spotify.com/track/10m1yYuud3w7bb43srjbWi
Melody (feat. Jaywillz),Diamond Platnumz,https://open.spotify.com/track/5c9ZCWYpUEiT00SxM1WhJI
Style,Kelvyn Boy,https://open.spotify.com/track/3oDFgyVCxBwZCKQHYpLwcR
B. D’OR (feat. Wizkid),Burna Boy,https://open.spotify.com/track/3ketN3dth18vSJ1T3HIztN
No Wahala,1da Banton,https://open.spotify.com/track/4vHy2IHzf3EabEa7oMpUZB
Coachella,Sarkodie,https://open.spotify.com/track/7x4yCout42C0B7GDBN2VNR
Je M'appelle (feat. DaVido),DaVido,https://open.spotify.com/track/45JfxtSUnkb9e4r0MBYqfK
High,Adekunle Gold,https://open.spotify.com/track/7l8VNas2HcqyvsvOSjXDQt
Slow Down,King Promise,https://open.spotify.com/track/06NG4AQXXeWnnODyUCC6ZU
Thy Grace,Kofi Kinaata,https://open.spotify.com/track/6MBpgxXASTwAB4XSgIsBCH
Wo Pre,Kofi Kinaata,https://open.spotify.com/track/3GMbqlW2nGH5Dnk6mnonom
E Choke,Sefa,https://open.spotify.com/track/0dfhS0eJu5a3OB6TVMdYlA
Spiritual (feat. Kuami Eugene & Patoranking),KiDi,https://open.spotify.com/track/20v09gzHogJdM5a3GLpR4p
Monalisa,Lojay,https://open.spotify.com/track/1zwZ26A7OA5wTrA3FejCLL
Touch It,KiDi,https://open.spotify.com/track/3h3xeg5OGNYVM0U9rOAc6j
Baby Riddim,Fave,https://open.spotify.com/track/77eZIuMTB9HrQ86L4ljqEX
Mood,Mr Drew,https://open.spotify.com/track/6MxDZfKKNsiYwescOFGyY0
Kilometre,Burna Boy,https://open.spotify.com/track/0oQgoesQJq0fRnWOY1D73g
Forever (Remix),Gyakie,https://open.spotify.com/track/4vLY6fJQWgBzQYHzguDZme
Lie,Kizz Daniel,https://open.spotify.com/track/5jVpi3fFf5OGAZ5bpe4Bhy
Activate,Stonebwoy,https://open.spotify.com/track/0Bc66CwO7NENnqW60RBDzG
In My Maserati,Olakira,https://open.spotify.com/track/5FTWH4i31H7KTx2YSjcSiE
Praise,Fameye,https://open.spotify.com/track/6vuItm60bi4U9UOgvYanSp
Essence (feat. Justin Bieber & Tems),WizKid,https://open.spotify.com/track/1MZtr7IH5qtjIkqrXj8WOJ
Inna Song (Gin & Lime),DarkoVibes,https://open.spotify.com/track/4GglMLR6MKcV3PARUDVvrG
Like I Do,Fireboy DML,https://open.spotify.com/track/3B5slaBuBK0BsuNw570pmx
Tomorrow,DarkoVibes,https://open.spotify.com/track/6KoUNGgMjFXWtYqsiy9cND
Soundgasm,Rema,https://open.spotify.com/track/5c549LWiKCWGvcDsZwMN6v
Bounce,Ruger,https://open.spotify.com/track/3ku51L937DfBoNcU9hmDQy
Levels,Flavour,https://open.spotify.com/track/22w46JCAHtfjnWB83ga9Y0
Bounce,Rema,https://open.spotify.com/track/0N83qk5axJe71xNDXeViFQ
Feeling,LADIPOE,https://open.spotify.com/track/29e2gdZN35wxeGgDtkXjIa
Essence (feat. Tems),WizKid,https://open.spotify.com/track/7JATnENsPMMQWtvMsQnW23
Tele,Kelvyn Boy,https://open.spotify.com/track/2vajVHA2NB5qMBaPR9mNMn
Cocaine,Dai Verse,https://open.spotify.com/track/1U9C0hF4c5QR3S1ekWIH4Z
love nwantiti (ah ah ah),CKay,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
Dimension (feat. Skepta & Rema),JAE5,https://open.spotify.com/track/2Jy4EdqIZswDZvVDh5dx3A
Godly,Omah Lay,https://open.spotify.com/track/6NgjdJrK7Bpyvsm8yDtx4H
Say Cheese,KiDi,https://open.spotify.com/track/601WxmzITFziMCk3iuNps7
Lo Lo,Omah Lay,https://open.spotify.com/track/20hZEnFjyvUIk4YkONRGMZ
Infinity (feat. Omah Lay),Olamide,https://open.spotify.com/track/5DS9LiyEdw2zY8bM6kjjgM
Away,Ayra Starr,https://open.spotify.com/track/47eAURQmsBK5e5cliaObFm
Abule,Patoranking,https://open.spotify.com/track/5GmvLu8Ok9KqBakA6jTEVK
Show Me,Joeboy,https://open.spotify.com/track/0CSjeunTxJ7hrePnWvdGJe
It Is What It Is,Adekunle Gold,https://open.spotify.com/track/1Gm3jwEy0cx0souTcRGEby
Bad Influence,Omah Lay,https://open.spotify.com/track/2c00DlvpzthGKcyXpe5GHa
Woman,Rema,https://open.spotify.com/track/62N0RkCCs4XQXk7hgnpOXo
Dangerous,Berose 3sixty,https://open.spotify.com/track/3cHz7uWYb3VI8FwNkwvSRr
Confirmed,DarkoVibes,https://open.spotify.com/track/7sWaLgAGXLdAzRdqmwXilZ
Mea,Kelvyn Boy,https://open.spotify.com/track/0NDkmXiknCbcGefMrjC0pV
Beamer (Bad Boys),Rema,https://open.spotify.com/track/1pkNZFVhcshcvN5I6Nvb0q
Scatter,Fireboy DML,https://open.spotify.com/track/0s3ZpsAaVCbWxDhLq2B2wh
Mine (feat. Wizkid & Kel-P),StarBoy,https://open.spotify.com/track/56GgKLQSEFYzCyqYpeE61q
AWAY,Oxlade,https://open.spotify.com/track/1wfIqsTXmMVtZxYk8uWxGa
Happy Day,Sarkodie,https://open.spotify.com/track/2CwQ6rEsoirjV8nu33BVyy
Something Different,Adekunle Gold,https://open.spotify.com/track/7g2j8MYcb4PJsI2C9OzEsx
Vibration,Fireboy DML,https://open.spotify.com/track/7u0z6FcJDqkZwdpqAqUzmO
Bank On It,Burna Boy,https://open.spotify.com/track/7862flGk6U3tiWs2m2aUzH
Baajo,Kwesi Arthur,https://open.spotify.com/track/21Dj85OlxW3ANBe5JndDfo
Coming,Naira Marley,https://open.spotify.com/track/1H2IEdM9irHOk4YTQTgRxE
Fountains (with Tems),Drake,https://open.spotify.com/track/08XWh5c0BMyD1nKVxxl91z
FEM,DaVido,https://open.spotify.com/track/2PxLuV3mcHbxB8K7Zci1GQ
Show Body,Kuami Eugene,https://open.spotify.com/track/38ryuAOlw4zjSYMZ4PuY7h
Tokyo,King Promise,https://open.spotify.com/track/6XBxfyXGkOBfCIqSC8roGy
Bra,King Promise,https://open.spotify.com/track/2AH0Ki8syj6xwvtvqzW15Y
Sisa,King Promise,https://open.spotify.com/track/6Th1cJVTMgDoMapYnSCFEx
Balanciego,Flash,https://open.spotify.com/track/0dtvknb7ilYItLjwJogd7U
Kate Winslet (feat. Unknown T),NSG,https://open.spotify.com/track/1QPIsbNZiuDv9NBjvkZYNU
love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix],CKay,https://open.spotify.com/track/140dx97IbJbQhIMd7AaHeb
Go Low,L.A.X,https://open.spotify.com/track/4sCCgLTynVgwC5kwEOW1J4
Ginger (feat. Burna Boy),WizKid,https://open.spotify.com/track/51mLQ3w7yR7vjdSTFLWaY5
Jowo,DaVido,https://open.spotify.com/track/4ibxmEgdIWYAQjXl0ivFmW
Damages,Tems,https://open.spotify.com/track/3Xfwu3xtPqmJ4nM4jpBm8O
Okay,Adekunle Gold,https://open.spotify.com/track/2Iv3GHM3xFKIPbYSnhJAXO
PAMI (feat. Wizkid, Adekunle Gold & Omah Lay),DJ Tunez,https://open.spotify.com/track/6iC4xfqow6iAsRhPh5IrWz
Too Correct,Crayon,https://open.spotify.com/track/3jZ6HPh1hWZJCuKJKS6Ey0
Door,Joeboy,https://open.spotify.com/track/4ahI2IdM0Z1e7dLopcNJQi
Can't Relate,Omah Lay,https://open.spotify.com/track/7lJtRbSmuXwzoeFbtrYHzr
Ginger Me,Rema,https://open.spotify.com/track/28QpG4RmYhxq2YxjmQ06Ch
Understand,Omah Lay,https://open.spotify.com/track/6teW0qt23aGnWhC0rSvtoz
MOSLADO,Teni,https://open.spotify.com/track/3n8cVzL2mibNoBC6aR5lo0
23,Burna Boy,https://open.spotify.com/track/7EqoATlXAKNwzv45LAlqRt
Ye Ye Ye,Omah Lay,https://open.spotify.com/track/5sxFYtIrP2ubyF4S3Of9ZK
Onyeka (Baby),Burna Boy,https://open.spotify.com/track/2v52t6uTRjPIgnh9HHBAaf
You,Omah Lay,https://open.spotify.com/track/7rMLmoVArHiGk9xnWZ1uCs
No Stress,WizKid,https://open.spotify.com/track/5C3vZiMOn2KHMbNQOhL6oQ
