name,artists,spotify_url
Can't Tell Me Nothing,Kanye West,https://open.spotify.com/track/0mEdbdeRFQwBhN4xfyIeUM
RAPSTAR,Polo G,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
Everyday We Lit (feat. PnB Rock),YFN Lucci,https://open.spotify.com/track/3J8Q6aBhjpvao8BsBQ6H9Y
Jumpman,Drake,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
Trophies,Young Money,https://open.spotify.com/track/6HfOzLLjsaXsehIFEsrxTk
pick up the phone,Young Thug,https://open.spotify.com/track/4GXl8l1MfZPf2GvpyRPJBf
X (with 2 Chainz & Saudi),ScHoolboy Q,https://open.spotify.com/track/4LmAnpjlhWTahvRkYR8xJa
Danger (with Migos & Marshmello),Migos,https://open.spotify.com/track/0nhVrTiCGiGRCoZOJiWzm1
ESCAPE PLAN,Travis Scott,https://open.spotify.com/track/4R67rQNSbbsR4TdUVOIdez
Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage,Skylar Grey,https://open.spotify.com/track/5W8HXMOMLtXLz0RGKUtnlZ
family ties (with Kendrick Lamar),Baby Keem,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
FWMGAB,French Montana,https://open.spotify.com/track/2f6PfM0BVPBtJVayoSVPus
Homicide (feat. Eminem),Logic,https://open.spotify.com/track/7M2tXmeS15NAzEn7ABFeBg
Psycho (feat. Ty Dolla $ign),Post Malone,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
m y . l i f e (with 21 Savage & Morray),J. Cole,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
In My Feelings,Drake,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
Zim Zimma,Joyner Lucas,https://open.spotify.com/track/7g9DNzAU2QP88rE4BgIJpp
Super Gremlin,Kodak Black,https://open.spotify.com/track/1Y5Jvi3eLi4Chwqch9GMem
I Got 5 On It,Luniz,https://open.spotify.com/track/4IYKjN1DrYzxKXt0umJqsG
Champion (feat. Travis Scott),NAV,https://open.spotify.com/track/6nO3tr47nr2P7f3hXb8JIo
Keeper (feat. A Boogie Wit da Hoodie),OHGEESY,https://open.spotify.com/track/5b2CRPYt0QNA0jaCJNIIdn
Worst Day,Future,https://open.spotify.com/track/70pwY1UfPmSVE3ybPjFy0p
Black Beatles,Rae Sremmurd,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
Rumors (feat. Lil Durk),Gucci Mane,https://open.spotify.com/track/0P2P1AxcRYhiZvoF5MyRmM
Johnny P's Caddy,Benny The Butcher,https://open.spotify.com/track/59ClUavkkfRhryajZBn2Lf
Hurricane,Kanye West,https://open.spotify.com/track/6Hfu9sc7jvv6coyy2LlzBF
Wolves (feat. Post Malone),Big Sean,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
Ramen & OJ,Joyner Lucas,https://open.spotify.com/track/4TIqzdAssasqx3DAe6cG9J
Drankin N Smokin,Future,https://open.spotify.com/track/0k7wmahjkn389wAZdz19Cv
Ballin' (with Roddy Ricch),Mustard,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
Candy Shop,50 Cent,https://open.spotify.com/track/5D2mYZuzcgjpchVY1pmTPh
DNA.,Kendrick Lamar,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
R.I.C.O. (feat. Drake),Meek Mill,https://open.spotify.com/track/0Y0TOsE1q11qgbi7c5WZsG
Motley Crew,Post Malone,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
Don't Rush (feat. DaBaby),Young T & Bugsey,https://open.spotify.com/track/3AMxuq6id3YGB57eWeheZQ
734,Juice WRLD,https://open.spotify.com/track/26gXWzhL8DZJSU5sODhVTs
From The Garden (feat. Lil Uzi Vert),Isaiah Rashad,https://open.spotify.com/track/3Dah4SWoWwekrG4GShaHVP
JETSKI (feat. Lil Mosey & Lil Tecca),Internet Money,https://open.spotify.com/track/2vl0D1b0M6UHlD1Fjh5j1m
a m a r i,J. Cole,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX
You Only Live Twice (with Lil Wayne & Rick Ross),Drake,https://open.spotify.com/track/50ceCGZ3oD3U5caQV5bP6f
Over The Top (feat. Drake),Smiley,https://open.spotify.com/track/3skWb4hadA0lTaowADujyY
POPSTAR (feat. Drake),DJ Khaled,https://open.spotify.com/track/1sbEeUY8KsdvgiQi26JBFz
I Don't Die,Joyner Lucas,https://open.spotify.com/track/3NSmC1EQKOdUe6KhMrDDk5
Invincible,Pop Smoke,https://open.spotify.com/track/792HwhrdO3ErRKL5yRe4Ge
GANG GANG (with Lil Wayne),Polo G,https://open.spotify.com/track/0ezwvY7TkCwDEkKR49084k
City of Gods,Fivio Foreign,https://open.spotify.com/track/4huBDGP4I3S0pYI0EaRN1c
Let You Down,NF,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
Praise God,Kanye West,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
All About U (ft. Nate Dogg, Snoop Dogg, Fatal, Yani Hadati),2Pac,https://open.spotify.com/track/3j9UIPpivEXyfV67agjXKH
