name,artists,spotify_url
Anyone,Justin Bieber,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
Overpass Graffiti,Ed Sheeran,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
Hold Me Like You Used To,Zoe Wees,https://open.spotify.com/track/4qHexxXs8mPPI9ocONrhOG
Lose You To Love Me,Selena Gomez,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
Love To Lose,Sandro Cavazza,https://open.spotify.com/track/11lFSEnkj3810ojPLj53RO
Beneath Your Beautiful (feat. Emeli Sandé),Labrinth,https://open.spotify.com/track/2EcsgXlxz99UMDSPg5T8RF
Believer,Imagine Dragons,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
Dreamer,Sunrise Avenue,https://open.spotify.com/track/0ZNsz4YT7wJv0XbcnKqZNF
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
Favela,Alok,https://open.spotify.com/track/2JVbZEpewmqNlSzmXJTx2E
Shivers,Ed Sheeran,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
Most People (with Lukas Graham),R3HAB,https://open.spotify.com/track/3qGzO7CnDHKRT7KrR2JPFJ
Holy (feat. Chance The Rapper),Justin Bieber,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
Little Bit of Love,Tom Grennan,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
Everywhere (BBC Children In Need),Niall Horan,https://open.spotify.com/track/0z0kUUd2jPQiI2Ob8VXajc
Lean On Me,Cheat Codes,https://open.spotify.com/track/5acSb48zFAcXTdL5Wsk8xx
Family (feat. Bebe Rexha, Ty Dolla $ign & A Boogie Wit da Hoodie),David Guetta,https://open.spotify.com/track/0HLhptvI8NozbOHRLNniFz
Our Song,Anne-Marie,https://open.spotify.com/track/3fGW43fnu3OHEw6ohTC2Bw
You for Me,Sigala,https://open.spotify.com/track/73QyyUMMvtNELmULI4FOsp
West Coast,OneRepublic,https://open.spotify.com/track/0sBJA2OCEECMs0HsdIQhvR
Butterflies,MAX,https://open.spotify.com/track/7eQHxigpuDJjCG50JyzU8v
Bad Habits,Ed Sheeran,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
lovely (with Khalid),Billie Eilish,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
When I’m Gone (with Katy Perry),Alesso,https://open.spotify.com/track/5902W4uHWzhtOff1UK7the
World We Used To Know,Alan Walker,https://open.spotify.com/track/5I9Qa1LfGcQGCIC32lh9Ka
Remember (and David Guetta),Becky Hill,https://open.spotify.com/track/6feiJqgHqeSvkGUzf11AYs
Love Again,Dua Lipa,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
Acapulco,Jason Derulo,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
Can I Get It,Adele,https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN
Give Me Love,Ed Sheeran,https://open.spotify.com/track/0SuG9kyzGRpDqrCWtgD6Lq
Red Eye (feat. TroyBoi),Justin Bieber,https://open.spotify.com/track/24OeEKPQ8qqNZnPevRHxUT
Someday,OneRepublic,https://open.spotify.com/track/6aDsgHPZsMztSbZernzlF8
Can I Be Him,James Arthur,https://open.spotify.com/track/0VhgEqMTNZwYL1ARDLLNCX
All Night,The Vamps,https://open.spotify.com/track/0dXNQ8dckG4eYfEtq9zcva
Breakdown (feat. Demi Lovato),G-Eazy,https://open.spotify.com/track/1nMd2QJB8ZxIH4f3rSgKY6
working,Tate McRae,https://open.spotify.com/track/31sSFHIe4NaxltVFOEIcTa
traitor,Olivia Rodrigo,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
Take You Dancing,Jason Derulo,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
Higher Power,Coldplay,https://open.spotify.com/track/65OR4ywy8Cgs3FDHK82Idl
24/5,Mimi Webb,https://open.spotify.com/track/6rbusyA3DqbX30SLn7aofn
Believers,Alan Walker,https://open.spotify.com/track/4bMLBGnjAGVFpjAfIkD0UY
Infinity,Jaymes Young,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
Follow Me,Sam Feldt,https://open.spotify.com/track/2Xy1UIVfOlukyye6Fd0wrI
Run,Becky Hill,https://open.spotify.com/track/6oYXbji1rn7U6bFuNYekpQ
Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
@ my worst,blackbear,https://open.spotify.com/track/0mHGftgYtmpH4y17T3VZ2E
One Right Now (with The Weeknd),Post Malone,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
Stay Next To Me (with Chelsea Cutler),Quinn XCII,https://open.spotify.com/track/7kTlHVCARylJAqm40yVoWE
If the World Was Ending (feat. Julia Michaels),JP Saxe,https://open.spotify.com/track/77MdvMx9L4ZQuLhhn3o21h
Trouble,Nico & Vinz,https://open.spotify.com/track/7l1HLHo18BGGNHRfnfJGTc
